date,open,high,low,close,volume,yf_symbol
2026-05-20,8450,8600,8420,8575,1203400,ABB.NS
2026-05-21,8575,8660,8525,8610,1124500,ABB.NS
2026-05-22,8610,8725,8580,8698,1345600,ABB.NS
2026-05-20,2250,2295,2238,2284,5432100,ACC.NS
2026-05-21,2284,2310,2270,2298,5123400,ACC.NS
2026-05-22,2298,2338,2290,2325,6012500,ACC.NS
2026-05-20,738,748,734,745,812340,3MINDIA.NS
2026-05-21,745,752,742,749,745600,3MINDIA.NS
2026-05-22,749,758,746,754,792100,3MINDIA.NS
2026-05-20,1320,1344,1312,1336,1876500,360ONE.NS
2026-05-21,1336,1352,1331,1348,1765400,360ONE.NS
2026-05-22,1348,1365,1342,1359,2012300,360ONE.NS
