Symbol,Company Name,Industry
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels
TCS,Tata Consultancy Services Ltd.,Information Technology
INFY,Infosys Ltd.,Information Technology
HDFCBANK,HDFC Bank Ltd.,Financial Services
ICICIBANK,ICICI Bank Ltd.,Financial Services
LT,Larsen & Toubro Ltd.,Construction
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare
TITAN,Titan Company Ltd.,Consumer Durables
TATAMOTORS,Tata Motors Ltd.,Automobile and Auto Components
